Waktu,Actual,Prediction,Error,MAPE
2026-06-19 14:00:00+00:00,10948.816325333335,11108.086986180435,159.27066084709986,1.4546838316995045
2026-06-19 15:00:00+00:00,9906.541561525424,9186.422190464822,720.1193710606021,7.2691298632145145
2026-06-19 16:00:00+00:00,9258.501205,8919.322570869756,339.178634130245,3.663429173040162
2026-06-19 17:00:00+00:00,8986.924448474576,8551.349474340608,435.57497413396777,4.846763502144513
2026-06-19 18:00:00+00:00,8673.859302333332,8980.94010918336,307.08080685002824,3.540301913444933
2026-06-19 19:00:00+00:00,8227.409659508197,8726.55823722857,499.1485777203725,6.066898311590937
2026-06-19 20:00:00+00:00,8315.4171,8153.717646176208,161.69945382379228,1.944574179253044
2026-06-19 21:00:00+00:00,8433.067374262295,7904.163192343241,528.9041819190543,6.271788881152175
2026-06-19 22:00:00+00:00,7727.802849830508,8209.135769450315,481.3329196198065,6.228586947328288
2026-06-19 23:00:00+00:00,7254.402042833333,7898.384791426376,643.9827485930427,8.877130668946547
2026-06-20 00:00:00+00:00,7454.442936,7660.70681432613,206.26387832613,2.7669925183813895
2026-06-20 01:00:00+00:00,7352.516278813559,7553.43232344953,200.91604463597014,2.732616114226285
2026-06-20 02:00:00+00:00,10083.82061864407,7426.40542783794,2657.4151908061294,26.3532572752515
2026-06-20 03:00:00+00:00,10270.704036500001,13721.52621125289,3450.8221747528896,33.59869160370474
2026-06-20 04:00:00+00:00,10728.8188145,12978.76879691322,2249.94998241322,20.97108751032697
2026-06-20 05:00:00+00:00,11891.663671833334,11092.206419181271,799.4572526520624,6.722837735023248
2026-06-20 06:00:00+00:00,13558.91447,13873.013984943904,314.09951494390407,2.3165535533015578
2026-06-20 07:00:00+00:00,14471.511735333333,15282.446690195971,810.9349548626378,5.603664424931338
2026-06-20 08:00:00+00:00,16228.122347333332,15810.197701088578,417.9246462447536,2.5753111623134184
2026-06-20 09:00:00+00:00,14715.270817,16817.845600892175,2102.5747838921743,14.288386602189803
2026-06-20 10:00:00+00:00,14618.256087333333,16087.52846971609,1469.2723823827564,10.050941600728118
2026-06-20 11:00:00+00:00,14580.040218166667,15486.172408892213,906.132190725546,6.2148812840482375
2026-06-20 12:00:00+00:00,13423.208838166667,14994.194259778154,1570.9854216114873,11.703501305475116
2026-06-20 13:00:00+00:00,12308.6181325,13146.711557305656,838.0934248056565,6.808996881564896
2026-06-20 14:00:00+00:00,9777.685319,11453.038540609972,1675.353221609972,17.134456335533987
2026-06-20 15:00:00+00:00,7633.294042833334,9307.620456798142,1674.3264139648081,21.934520071800222
2026-06-20 16:00:00+00:00,7867.812831355933,7403.893710760021,463.9191205959114,5.89641785512531
2026-06-20 17:00:00+00:00,7144.238858666667,7646.780815295438,502.541956628771,7.034226690491151
2026-06-20 18:00:00+00:00,7403.256607833333,7609.738623410867,206.48201557753418,2.78907008787264
2026-06-20 19:00:00+00:00,7840.956062333334,7668.922293950981,172.03376838235272,2.1940407141008573
2026-06-20 20:00:00+00:00,7460.412132833333,7594.546166884117,134.13403405078407,1.7979440232324313
2026-06-20 21:00:00+00:00,7649.642024333333,7582.928790594913,66.71323373842006,0.8721092245389629
2026-06-20 22:00:00+00:00,7089.439323333334,7411.019020524212,321.5796971908776,4.536038500710044
2026-06-20 23:00:00+00:00,7174.245141166667,7383.3521029704025,209.10696180373543,2.9146893880703204
2026-06-21 00:00:00+00:00,6820.416862166667,7658.959514433902,838.5426522672351,12.294595318926769
2026-06-21 01:00:00+00:00,8168.397371166667,7203.555698398445,964.8416727682215,11.811884619790677
2026-06-21 02:00:00+00:00,9173.359131333333,8656.664914230534,516.6942171027986,5.632551933325409
2026-06-21 03:00:00+00:00,9398.10935,11227.523662892228,1829.4143128922278,19.465769600693438
2026-06-21 04:00:00+00:00,9819.549445833334,10390.579912727928,571.0304668945937,5.8152410153288185
2026-06-21 05:00:00+00:00,11597.562077166665,10222.702344565061,1374.8597326016043,11.85473053262146
2026-06-21 06:00:00+00:00,10958.202799166667,12598.726033969258,1640.523234802591,14.97073256325706
2026-06-21 07:00:00+00:00,11528.287760333333,11200.824420460065,327.4633398732676,2.840520176812443
2026-06-21 08:00:00+00:00,11250.080013333332,10942.197375435398,307.8826378979338,2.736715094764113
2026-06-21 09:00:00+00:00,10916.879508833334,11417.883793403156,501.00428456982263,4.589262748246307
2026-06-21 10:00:00+00:00,11322.593099166666,10350.049436479314,972.5436626873525,8.589407516189299
2026-06-21 11:00:00+00:00,8752.519832833332,11165.700748119387,2413.180915286055,27.571270461261776
2026-06-21 12:00:00+00:00,7261.94092,8143.025880484177,881.0849604841769,12.132912814776478
2026-06-21 13:00:00+00:00,9110.797484807692,7430.578708443095,1680.218776364597,18.44206041421041
2026-06-21 14:00:00+00:00,8335.678540333332,8802.124848101495,466.446307768163,5.595780901473084
2026-06-21 15:00:00+00:00,7126.140812,8359.130168450338,1232.9893564503382,17.30234342793307
2026-06-21 16:00:00+00:00,6902.726819152543,7443.241008207635,540.5141890550922,7.830444449219154
2026-06-21 17:00:00+00:00,6917.3478841666665,7295.289398969297,377.9415148026301,5.463676558290674
2026-06-21 18:00:00+00:00,7167.908129833333,7106.594316606311,61.313813227022365,0.8553934023209645
2026-06-21 19:00:00+00:00,7486.848754833333,7247.651576750942,239.19717808239147,3.1948979592778795
2026-06-21 20:00:00+00:00,6966.7486165,7490.921445987817,524.1728294878167,7.523923401604722
2026-06-21 21:00:00+00:00,7128.8552488333335,7275.704524768957,146.84927593562315,2.059927867937221
2026-06-21 22:00:00+00:00,7120.400130666666,7631.975135353233,511.5750046865669,7.184638437428226
2026-06-21 23:00:00+00:00,9167.008186833333,7079.61112694103,2087.3970598923024,22.770755925476887
2026-06-22 00:00:00+00:00,9957.644840333332,10604.201156107993,646.5563157746601,6.493064636687892
2026-06-22 01:00:00+00:00,8579.726440333334,12799.360665644977,4219.634225311644,49.18145414841111
2026-06-22 02:00:00+00:00,9580.743018000001,9319.3358890311,261.4071289689018,2.728464049998818
2026-06-22 03:00:00+00:00,8863.968595333334,10239.814543339076,1375.8459480057427,15.521782745598767
2026-06-22 04:00:00+00:00,9809.829736333333,9525.922489827879,283.90724650545417,2.894109827960903
2026-06-22 05:00:00+00:00,11300.946647,11004.532239610178,296.4144073898224,2.622916616180202
2026-06-22 06:00:00+00:00,11893.397330833333,11098.069953519873,795.3273773134606,6.6871336691291265
2026-06-22 07:00:00+00:00,13809.286604833333,12269.394579494774,1539.8920253385586,11.151133794265572
2026-06-22 08:00:00+00:00,13352.104265,13859.743299702895,507.6390347028955,3.8019403131353204
2026-06-22 09:00:00+00:00,17063.351644833332,13732.191464839127,3331.1601799942055,19.52230868431325
2026-06-22 10:00:00+00:00,12628.152604,17343.68828346649,4715.5356794664895,37.34145307978643
2026-06-22 11:00:00+00:00,13115.874756000001,12437.693295781535,678.1814602184659,5.170691797801929
2026-06-22 12:00:00+00:00,10258.190542666667,12336.914294332788,2078.7237516661207,20.26403918917406
2026-06-22 13:00:00+00:00,9379.697541833333,9710.173379803777,330.47583797044354,3.523310176010745
2026-06-22 14:00:00+00:00,9445.897949,8799.831856325583,646.0660926744167,6.839647179787849
2026-06-22 15:00:00+00:00,7619.476620677966,8795.62076217619,1176.1441414982237,15.436022709307462
2026-06-22 16:00:00+00:00,7159.388655333333,7696.786291712554,537.3976363792208,7.506194484621119
2026-06-22 17:00:00+00:00,7001.5820885,7405.868883565599,404.2867950655991,5.774220596936718
2026-06-22 18:00:00+00:00,6657.329914666667,7305.468958346661,648.1390436799938,9.735720656596696
2026-06-22 19:00:00+00:00,7200.535229333333,6904.540871196531,295.99435813680157,4.110727171099563
2026-06-22 20:00:00+00:00,6544.482267666666,7058.265815277017,513.783547610351,7.850637019046161
2026-06-22 21:00:00+00:00,7241.6845785000005,6804.3379082396405,437.34667026036004,6.039294662996071
2026-06-22 22:00:00+00:00,7486.510603500001,7011.728631596393,474.7819719036079,6.34183262468958
2026-06-22 23:00:00+00:00,7731.74729,7843.056130006864,111.30884000686365,1.4396337054474997
2026-06-23 00:00:00+00:00,8945.111735166667,8160.961201503757,784.1505336629098,8.766246379909521
2026-06-23 01:00:00+00:00,11955.1314445,10229.371095400951,1725.7603490990496,14.435310536823847
2026-06-23 02:00:00+00:00,13569.984017166666,13653.787867762345,83.80385059567925,0.6175677914554907
2026-06-23 03:00:00+00:00,12588.13654,14852.643406631658,2264.5068666316583,17.989214364143354
2026-06-23 04:00:00+00:00,12670.853190166667,13138.52853166558,467.67534149891435,3.690953833020953
2026-06-23 05:00:00+00:00,12741.867561666668,13136.378690637706,394.5111289710385,3.0961797951652503
2026-06-23 06:00:00+00:00,13651.141276166667,12684.630889602264,966.5103865644032,7.080070208135784
2026-06-23 07:00:00+00:00,15652.316715666668,14180.3355640309,1471.9811516357677,9.404238224763475
2026-06-23 08:00:00+00:00,17264.268733666668,15804.519720947672,1459.7490127189958,8.455319105826774
2026-06-23 09:00:00+00:00,18631.72044266667,17591.640043518608,1040.0803991480607,5.582310030620011
2026-06-23 10:00:00+00:00,14635.943457333335,18184.333177111374,3548.389719778039,24.244352474593082
2026-06-23 11:00:00+00:00,14104.362874166665,15376.503525188838,1272.1406510221732,9.019483278838539
2026-06-23 12:00:00+00:00,11220.588134833333,13494.732751680578,2274.144616847245,20.2676062031665
2026-06-23 13:00:00+00:00,10865.613818166667,9674.876003960064,1190.7378142066027,10.958771719051521
2026-06-23 14:00:00+00:00,9877.137052,9418.00323042695,459.1338215730502,4.648450448301527
2026-06-23 15:00:00+00:00,6825.425341833334,9652.439683082159,2827.014341248825,41.418874277650204
2026-06-23 16:00:00+00:00,7372.762198333334,7454.026830522544,81.2646321892098,1.1022277676008627
2026-06-23 17:00:00+00:00,7121.8442626666665,7603.392666075931,481.5484034092642,6.76156885279819
2026-06-23 18:00:00+00:00,7036.632381833333,7328.75755442539,292.1251725920565,4.151491178454115
2026-06-23 19:00:00+00:00,7171.6796466666665,7151.463245478757,20.21640118790947,0.28189213941403357
2026-06-23 20:00:00+00:00,6724.482446166667,7239.63331021323,515.1508640465636,7.660825471263273
2026-06-23 21:00:00+00:00,7140.708878833333,7089.718973348374,50.98990548495931,0.7140734393486458
2026-06-23 22:00:00+00:00,7048.085912833334,7164.571993114845,116.48608028151102,1.6527335466982633
2026-06-23 23:00:00+00:00,7788.293433166667,7197.837927135124,590.4555060315424,7.581320748869978
2026-06-24 00:00:00+00:00,7753.554898833333,7951.527708172542,197.97280933920865,2.5533166647081758
2026-06-24 01:00:00+00:00,11041.350179000001,7965.927797615635,3075.4223813843655,27.853680315597977
2026-06-24 02:00:00+00:00,15553.308610166667,12447.60155274898,3105.707057417687,19.968143983123902
2026-06-24 03:00:00+00:00,18920.844319333333,15809.738363675358,3111.105955657975,16.44274379700405
2026-06-24 04:00:00+00:00,18179.716081166665,18786.605380879064,606.8892997123985,3.33827710511446
2026-06-24 05:00:00+00:00,16140.627312,18122.61644498403,1981.9891329840284,12.279504970110349
2026-06-24 06:00:00+00:00,15903.064762333333,15447.341105482985,455.72365685034856,2.8656341633578544
2026-06-24 07:00:00+00:00,16313.546386666667,15840.214702809264,473.3316838574028,2.9014640510310175
2026-06-24 08:00:00+00:00,16822.705143,16159.875182691054,662.8299603089454,3.9400914102376206
2026-06-24 09:00:00+00:00,16782.465901333333,14152.313598806208,2630.1523025271254,15.672025303016794
2026-06-24 10:00:00+00:00,14118.984961,13824.149230459738,294.8357305402624,2.0882218612362635
